"barcode","DE1-R1-T0","DE1-R1-T1","DE1-R1-T2","DE1-R1-T3","DE1-R1-T4","DE2-R1-T0","DE2-R1-T1","DE2-R1-T2","DE2-R1-T4","DE2-R1-T3"
170814,8227,408,6456,6983,6979,6314,1973,2505,4524,6983
171083,7688,427,3240,2342,1840,6265,1675,1724,1003,2342
175091,9568,496,6583,6699,7369,6927,1921,3641,4201,6699
176764,8475,372,5507,5604,5835,6212,1480,2588,3317,5604
178096,12404,609,9389,9815,11162,9106,2428,5419,6360,9815
179100,36818,3066,63235,112491,151527,24724,13800,39151,83429,112491
179213,5806,189,6122,6032,4043,5637,1369,1934,3717,6032
180905,5045,234,4437,4553,5089,3808,1490,1969,2983,4553
183570,2755,62,964,536,265,2408,382,380,195,536
187133,440,45,948,1868,2309,303,136,419,1325,1868
187691,3541,114,2991,3403,3076,2601,594,807,1954,3403
189102,23953,1404,32303,35044,48711,23018,7761,18401,30905,35044
191298,7627,359,3333,2479,2186,6189,1309,1907,1092,2479
192852,5070,226,2790,1959,1275,4584,1278,1436,868,1959
193269,4095,149,2379,2187,2098,3198,760,1250,1181,2187
194622,14161,688,9821,10021,10588,10029,2899,4909,5860,10021
195473,5106,182,2701,1924,1502,4928,1074,1328,831,1924
195887,4726,190,2044,1566,1215,3436,756,1116,688,1566
197765,12556,573,8483,8456,8830,9103,3000,4988,5279,8456
198950,10463,554,7405,7927,8419,7184,2465,4061,5059,7927
200512,6709,298,5340,5645,6334,5098,1911,2325,3625,5645
201777,8717,420,6529,7120,7868,6312,1628,2890,4546,7120
201919,12914,470,12503,11518,7049,12219,2162,4619,7683,11518
202468,6353,321,5322,4937,5434,5663,1539,2246,3266,4937
205157,4683,211,2487,2257,1571,3609,900,1132,952,2257
206713,8353,350,6862,6785,7876,6267,1857,3674,4627,6785
207058,8749,377,6431,6735,6972,6990,1616,2757,4196,6735
208465,6398,241,2839,2296,1838,5176,1056,1534,1023,2296
210734,3040,103,3009,3041,2624,2698,918,934,1961,3041
211106,11734,658,8712,9265,11034,8230,2694,5148,6071,9265
214211,8895,379,7538,7511,7189,7382,2319,3071,4410,7511
215309,7778,321,3455,3176,3287,6036,1522,2294,1732,3176
215325,10035,482,7106,6843,7737,7218,2014,3850,4433,6843
217798,16556,1127,16573,19072,19266,14986,4850,7676,11203,19072
225065,16534,873,12176,12103,14230,12918,4053,6201,7580,12103
225103,6499,306,2819,1868,1552,5186,1384,1693,834,1868
225923,7154,358,3118,2690,2245,5323,1306,1633,1289,2690
229920,14719,983,39323,75571,75126,12417,4343,16463,65004,75571
230962,7518,392,3170,2676,2191,5693,1362,1943,1245,2676
232264,11046,577,8077,8692,9457,7883,2695,4136,5200,8692
237576,11454,611,8086,8465,8971,7829,2573,4407,5255,8465
238413,3034,125,1518,1281,952,2192,753,690,528,1281
239769,5150,224,2800,2798,2709,3943,938,1344,1790,2798
241857,7226,329,3397,2569,1912,5648,1337,1897,1074,2569
244443,10025,456,7373,8015,8651,8280,2089,3285,4888,8015
246829,469,36,1173,1973,2314,322,145,255,1874,1973
247616,4926,189,2209,1673,1150,3795,737,1059,705,1673
251379,11330,560,8163,8649,9500,8359,2454,4432,5256,8649
254044,2801,134,1720,1480,1221,2427,631,653,660,1480
258539,10920,624,8660,8317,9162,8475,2938,4988,5231,8317
261861,11496,578,8573,8369,8279,9965,2949,4195,5432,8369
262917,8035,578,7518,8326,8239,7883,2273,4160,4614,8326
266802,14547,728,10163,10665,11839,10335,3017,5991,6727,10665
270104,4042,180,1877,1482,1010,3799,965,813,633,1482
273092,7064,322,5738,6269,6235,4997,1253,2283,4066,6269
276407,2117,80,742,497,293,1844,348,349,180,497
277185,3018,116,1683,1210,547,2982,529,585,551,1210
278476,6230,250,3089,2290,1789,4827,1056,1565,1086,2290
283952,1851,93,1491,1637,1871,1416,359,658,1051,1637
287352,4157,203,2002,1621,1111,3384,928,861,641,1621
294706,4313,178,2324,1761,1261,3550,1033,1224,758,1761
295458,6390,277,6588,6044,3692,5686,1262,2956,4087,6044
296771,13298,646,9545,9829,11353,9124,2830,5910,6181,9829
297322,7964,362,5829,6174,6171,5692,1604,2529,3902,6174
298344,3453,129,1642,1340,968,2720,626,642,606,1340
303501,6413,297,2836,2334,1497,5333,1286,1456,922,2334
304483,5635,314,4861,4284,2986,5178,1504,2362,2399,4284
304935,7793,383,3383,2440,2003,6350,1296,2013,1154,2440
309605,1473,42,1030,800,401,1644,286,313,301,800
309655,8867,504,26523,43236,29838,7649,1936,6284,36668,43236
310209,10191,592,7256,7857,8300,7895,2028,3763,4903,7857
316048,5753,283,2710,2171,1610,4313,1565,1560,929,2171
316954,7884,360,3261,2581,1790,5577,1611,1569,1134,2581
317672,16129,839,11099,11694,13046,11604,3655,6769,7562,11694
319196,7347,294,6010,6170,7128,6171,1516,2919,3918,6170
328579,7905,407,5965,6686,6566,6413,1884,2542,4226,6686
329774,8837,441,8024,7585,7220,7805,2807,3818,5016,7585
330943,6351,259,2950,2203,1619,5509,1340,1363,976,2203
334616,3958,161,2208,1953,1395,3474,934,930,928,1953
336972,5758,310,5234,5810,4758,4703,1288,1836,3152,5810
338908,8445,366,7785,7259,6515,7099,2141,4063,4874,7259
340123,11288,585,8188,8446,9997,8356,2202,4716,5474,8446
341234,10218,548,6757,7091,7897,7132,2265,3755,4345,7091
349198,9516,410,7173,7625,9208,7190,1912,3591,4800,7625
349927,3056,95,1757,1623,1391,2321,711,812,927,1623
352078,4069,143,2460,1886,1213,4088,788,923,806,1886
352705,5316,261,2545,2195,1731,4141,881,1185,1014,2195
371306,6110,278,2807,2280,1754,4691,997,1493,1031,2280
375115,1693,41,1681,1604,837,1487,230,501,1042,1604
378857,5571,233,4342,5035,4715,4086,1126,1699,2886,5035
379777,12653,894,17302,24899,27422,9254,3588,8038,16894,24899
381707,8520,426,3643,2621,1890,6570,1544,2107,1297,2621
392361,4049,144,4024,4105,3531,3995,974,1550,2681,4105
419648,3961,152,1951,1460,1110,3092,624,814,651,1460
419831,7904,367,7403,7127,7841,6584,1898,3422,4803,7127
425471,8378,349,6634,6590,7526,6635,1808,3585,4371,6590
430247,2659,99,1881,1292,608,3451,645,575,595,1292
434397,8073,357,6617,6860,6537,6846,1949,3186,4325,6860
454851,4616,206,2187,1669,1272,3908,851,1240,661,1669
9000001,2713,121,5162,8631,9609,1710,735,1865,7780,8631
9000002,7964,377,14325,26209,26476,5581,1998,5908,19617,26209
9000003,8621,537,15621,27188,31971,5568,3481,8093,22723,27188
9000005,8434,534,15538,26170,30868,4962,2564,8405,22600,26170
9000006,3065,180,5037,8936,9968,1841,1071,2383,7916,8936
9000007,2928,182,5074,8793,9508,1721,841,2389,7573,8793
9000008,2472,123,4368,7509,8230,1627,641,1951,6560,7509
9000009,2972,162,5917,10313,11070,2085,996,2351,8373,10313
9000010,4654,340,9108,15522,18331,2787,1615,4256,13485,15522
9000101,14223,912,32395,79527,108419,9409,5960,16287,69087,79527
9000104,5746,410,13699,32624,43814,3347,2440,6558,29894,32624
9000105,6044,308,14993,33405,43865,4790,4359,4806,28978,33405
9000106,3545,238,8350,20318,27409,2282,1677,4179,18359,20318
9000107,2844,323,4593,11919,14030,1111,940,4131,9303,11919
9000109,2502,171,5663,14149,17074,1317,1107,2577,11999,14149
9000110,12894,929,29660,71391,109972,9260,7908,15933,64787,71391
